"","node_id","protocol","user_agent","connected_since","services","height","hostname","city","country_code","latitude","longitude","timezone","asn","organization_name"
"13010","[2a02:27aa::58]:8333","70016","/Satoshi:24.0.0/","1684328018","1032","791556","vps.hostry.com","Sofia","BG",42.6667,23.8,"Europe/Sofia","AS59729","ITL LLC"
"13011","7md62twadu3ih2azyok5aoh7ivqqjhxqqblfc4cr4sepckgfhiyiekyd.onion:8333","70016","/Satoshi:24.0.1/","1684996872","1033","791556",NA,NA,NA,0,0,NA,"TOR","Tor network"
"13012","2cxcqrwr3lz6znwj6iigeopv3ybve7lfyxp5lbd52kv23wv27ptnakad.onion:8333","70016","/Satoshi:0.21.1/","1685051977","1033","791556",NA,NA,NA,0,0,NA,"TOR","Tor network"
"13013","72.83.171.244:8333","70016","/Satoshi:24.0.1/","1684928479","1033","791556","pool-72-83-171-244.washdc.east.verizon.net","McLean","US",38.9567,-77.2278,"America/New_York","AS701","UUNET"
"13014","frdt2vhzunfnwbzmnsz5iwbapekfpisxqh26qscpl4w7e3gz7g44prad.onion:8333","70016","/Satoshi:23.0.0(RoninDojo 2.0.0)/","1685132850","1033","791556",NA,NA,NA,0,0,NA,"TOR","Tor network"
"13015","pksl5vrodhe3ahzljrn2b3dzaqoe2o2rawbacenhfw4rv5bnntedorid.onion:8333","70016","/Satoshi:24.0.1/","1684846933","1033","791556",NA,NA,NA,0,0,NA,"TOR","Tor network"
"13016","zh2cfu7y7zlurn5nzsygipdldkbderm4vlnrlofyvisj6dcmvzuzgoyd.onion:8333","70016","/Satoshi:22.0.0(FutureBit-Apollo-Node)/","1685146841","1033","791556",NA,NA,NA,0,0,NA,"TOR","Tor network"
"13017","54.36.106.76:8333","70016","/Satoshi:22.0.0/","1685141781","1033","791556","ns3111361.ip-54-36-106.eu",NA,"FR",48.8582,2.3387,"Europe/Paris","AS16276","OVH SAS"
"13018","ie2rnps5jrlqrfingtyospg2he2x66fnzmuflk6ah6pmz7kmn7cjgrid.onion:8333","70016","/Satoshi:23.0.0/","1685046875","1037","791556",NA,NA,NA,0,0,NA,"TOR","Tor network"
"13019","[2806:2f0:9100:3ea:8ec:566d:ad78:198b]:8333","70016","/Satoshi:24.99.0/","1685134620","1033","791556","2806:2f0:9100:3ea:8ec:566d:ad78:198b","Mexico City","MX",19.4326,-99.1332,"America/Mexico_City","AS17072","TOTAL PLAY TELECOMUNICACIONES SA DE CV"
